Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,7.42,8.16,7.38,8.16,73728300,8.16
2015-05-18,7.19,7.65,7.11,7.42,55167400,7.42
2015-05-15,7.30,7.44,7.07,7.21,58068500,7.21
2015-05-14,6.80,7.48,6.71,7.44,132635200,7.44
2015-05-13,6.68,6.86,6.50,6.80,48467100,6.80
2015-05-12,6.80,6.98,6.64,6.68,77733700,6.68
2015-05-11,6.11,6.59,6.11,6.59,65095100,6.59
2015-05-08,5.76,6.00,5.76,5.99,31897900,5.99
2015-05-07,6.08,6.08,5.66,5.69,40126400,5.69
2015-05-06,6.43,6.54,6.07,6.09,36592400,6.09
2015-05-05,6.89,6.89,6.39,6.43,49646700,6.43
2015-05-04,6.62,7.05,6.60,6.89,52685300,6.89
2015-05-01,6.62,6.62,6.62,6.62,000,6.62
2015-04-30,6.57,6.80,6.54,6.62,37978500,6.62
2015-04-29,6.47,6.64,6.37,6.57,36333700,6.57
2015-04-28,6.90,6.90,6.48,6.53,55785000,6.53
2015-04-27,6.70,7.02,6.70,6.91,64653600,6.91
2015-04-24,6.80,6.82,6.53,6.71,51759600,6.71
2015-04-23,6.90,6.96,6.80,6.85,59827700,6.85
2015-04-22,6.87,7.00,6.72,6.97,79871800,6.97
2015-04-21,7.20,7.45,6.74,6.87,129194500,6.87
2015-04-20,7.00,7.01,6.60,7.01,102310200,7.01
2015-04-17,6.37,6.37,6.37,6.37,000,6.37
2015-04-16,6.37,6.37,6.37,6.37,000,6.37
2015-04-15,6.37,6.37,6.37,6.37,000,6.37
2015-04-14,6.37,6.37,6.37,6.37,000,6.37
2015-04-13,6.37,6.37,6.37,6.37,000,6.37
2015-04-10,5.98,6.49,5.90,6.37,80354500,6.37
2015-04-09,5.87,6.10,5.60,6.07,73444700,6.07
2015-04-08,5.81,6.05,5.70,5.88,86852700,5.88
2015-04-07,5.70,5.85,5.64,5.82,55981700,5.82
2015-04-06,5.69,5.69,5.69,5.69,000,5.69
2015-04-03,5.48,5.75,5.42,5.69,59244900,5.69
2015-04-02,5.49,5.57,5.42,5.52,40646300,5.52
2015-04-01,5.44,5.53,5.36,5.49,38591400,5.49
2015-03-31,5.74,5.76,5.42,5.44,79707400,5.44
2015-03-30,5.32,5.80,5.22,5.61,90549600,5.61
2015-03-27,5.12,5.44,5.07,5.34,75191900,5.34
2015-03-26,5.23,5.36,5.07,5.08,42625600,5.08
2015-03-25,5.14,5.28,5.11,5.26,62886300,5.26
2015-03-24,5.23,5.26,4.90,5.11,63344000,5.11
2015-03-23,5.08,5.34,5.06,5.22,66632000,5.22
2015-03-20,4.87,5.15,4.82,5.10,58431000,5.10
2015-03-19,4.87,5.04,4.78,4.88,58658100,4.88
2015-03-18,4.77,4.85,4.70,4.84,48284200,4.84
2015-03-17,4.55,4.81,4.53,4.77,67262200,4.77
2015-03-16,4.43,4.56,4.43,4.56,36690200,4.56
2015-03-13,4.40,4.46,4.36,4.40,20530400,4.40
2015-03-12,4.44,4.59,4.30,4.36,41267200,4.36
2015-03-11,4.29,4.52,4.26,4.43,38072500,4.43
2015-03-10,4.25,4.36,4.22,4.29,27266100,4.29
2015-03-09,4.21,4.25,4.13,4.25,22822600,4.25
2015-03-06,4.35,4.37,4.20,4.24,27266900,4.24
2015-03-05,4.22,4.38,4.18,4.34,46518700,4.34
2015-03-04,4.11,4.23,4.11,4.22,26785000,4.22
2015-03-03,4.16,4.16,4.10,4.11,24326400,4.11
2015-03-02,4.18,4.19,4.14,4.17,25165100,4.17
2015-02-27,4.11,4.15,4.10,4.13,16543500,4.13
2015-02-26,4.06,4.11,4.06,4.11,12161200,4.11
2015-02-25,4.08,4.11,4.05,4.06,8683800,4.06
2015-02-24,4.07,4.07,4.07,4.07,000,4.07
2015-02-23,4.07,4.07,4.07,4.07,000,4.07
2015-02-20,4.07,4.07,4.07,4.07,000,4.07
2015-02-19,4.07,4.07,4.07,4.07,000,4.07
2015-02-18,4.07,4.07,4.07,4.07,000,4.07
2015-02-17,4.08,4.12,4.06,4.07,9622700,4.07
2015-02-16,4.03,4.09,4.02,4.07,8837800,4.07
2015-02-13,4.00,4.07,3.97,4.02,10869800,4.02
